"Beam","Particle","EnergyMeV","Events","Code","Dose","Rms","WallMs","LoopMs","GpuMs"
"gamma_1","gamma","1","2000000","port","1.2724200000000001E-08","2.5561599999999996E-11","3791.0781","959.347","750.623"
"gamma_1","gamma","1","2000000","G4 EM-only","1.27449E-08","2.55715E-11","21827.2527","20691.964","NaN"
"gamma_1","gamma","1","2000000","G4 QBBC","1.27519E-08","2.55703E-11","20920.6364","19946.784","NaN"
"gamma_6","gamma","6","2000000","port","8.51695E-08","1.73536E-10","2748.9945","1211.1","1003.22"
"gamma_6","gamma","6","2000000","G4 EM-only","8.56154E-08","1.7404099999999998E-10","32745.8372","31745.469","NaN"
"gamma_6","gamma","6","2000000","G4 QBBC","8.56399E-08","1.7419300000000002E-10","31396.7606","30415.541999999998","NaN"
"gamma_100","gamma","100","1000000","port","5.46491E-07","1.05236E-09","3492.6267","1944.97","1834.61"
"gamma_100","gamma","100","1000000","G4 EM-only","5.47959E-07","1.0558700000000002E-09","64362.3625","63375.729","NaN"
"gamma_100","gamma","100","1000000","G4 QBBC","5.4903E-07","1.05524E-09","63587.6382","62619.233","NaN"
"e-_20","e-","20","500000","port","4.6288600000000005E-09","4.03311E-11","2348.6781","821.444","727.11"
"e-_20","e-","20","500000","G4 EM-only","4.52466E-09","3.9735599999999996E-11","25190.4697","24208.293","NaN"
"e-_20","e-","20","500000","G4 QBBC","4.634310000000001E-09","4.0838999999999996E-11","27037.1007","26067.384000000002","NaN"
"e-_100","e-","100","300000","port","3.31072E-07","6.01426E-10","3096.4402","1577.23","1481.98"
"e-_100","e-","100","300000","G4 EM-only","3.32044E-07","6.01266E-10","47868.4077","46892.665","NaN"
"e-_100","e-","100","300000","G4 QBBC","3.3341500000000005E-07","6.02085E-10","50750.1644","49780.476","NaN"
"e-_1000","e-","1000","100000","port","1.10619E-07","3.45072E-10","2159.0995","625.821","532.092"
"e-_1000","e-","1000","100000","G4 EM-only","2.40273E-07","7.622849999999999E-10","25492.5997","24529.484","NaN"
"e-_1000","e-","1000","100000","G4 QBBC","2.39194E-07","7.62856E-10","27508.6063","26542.156","NaN"
"proton_210","proton","210","500000","port","3.0061399999999997E-06","3.2377E-09","3891.5924","2345.34","2249.98"
"proton_210","proton","210","500000","G4 EM-only","3.00721E-06","3.24586E-09","25650.7652","24676.665","NaN"
"proton_210","proton","210","500000","G4 QBBC","2.5015299999999997E-06","3.2661500000000003E-09","67618.8229","66647.87599999999","NaN"
"proton_400","proton","400","300000","port","5.95486E-07","8.848519999999999E-10","2677.7943","1142","1047.25"
"proton_400","proton","400","300000","G4 EM-only","5.96914E-07","8.83873E-10","17317.9591","16341.421","NaN"
"proton_400","proton","400","300000","G4 QBBC","6.58626E-07","1.3954500000000002E-09","50935.7472","49972.759000000005","NaN"
"proton_1000","proton","1000","200000","port","2.6280700000000003E-07","4.86906E-10","2334.3816","822.223","726.732"
"proton_1000","proton","1000","200000","G4 EM-only","2.62167E-07","4.87249E-10","12482.1525","11509.886","NaN"
"proton_1000","proton","1000","200000","G4 QBBC","3.91654E-07","1.3374600000000003E-09","47244.9804","46257.303","NaN"
"alpha_840","alpha","840","300000","port","7.3833399999999995E-06","1.0054900000000001E-08","3745.6103","2217.66","2122.51"
"alpha_840","alpha","840","300000","G4 EM-only","7.38672E-06","1.0085200000000002E-08","34747.1928","33777.859","NaN"
"alpha_840","alpha","840","300000","G4 QBBC","4.93231E-06","9.17171E-09","138031.7382","137059.40000000002","NaN"
"alpha_1600","alpha","1600","200000","port","1.5483299999999998E-06","2.56777E-09","3529.5728","1994.47","1901.63"
"alpha_1600","alpha","1600","200000","G4 EM-only","1.5521599999999999E-06","2.56533E-09","38390.6714","37426.075","NaN"
"alpha_1600","alpha","1600","200000","G4 QBBC","1.5233E-06","3.00547E-09","117513.1736","116461.71800000001","NaN"
"alpha_4000","alpha","4000","100000","port","5.12703E-07","1.20808E-09","2767.7282","1229.99","1135.8"
"alpha_4000","alpha","4000","100000","G4 EM-only","5.11501E-07","1.2081599999999999E-09","20500.25","19534.547","NaN"
"alpha_4000","alpha","4000","100000","G4 QBBC","6.634230000000001E-07","2.20436E-09","81230.2833","80261.72","NaN"
"gamma_6","gamma","6","2000000","port (P14c)","8.51892E-08","1.7347E-10","2925.2475","1202.87","993.554"
"gamma_6","gamma","6","2000000","G4 EM-only (P14c)","8.56154E-08","1.74041E-10","34342.6422","32952.717","NaN"
